Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target
161	DEK	none	2768	DEK proto-oncogene	7913	P35659	DEK_HUMAN	"DEK_C PF08766 321-375, Pfam-B_10960 PB010960 191-269, SAP PF02037 149-183"	Dek	1926209	Q7TNV0	DEK_MOUSE	none	none	Chromatin remodeling	none	17524367	B-WICH	histone	H4	none	none	17524367
162	DMAP1	none	18291	DNA methyltransferase 1 associated protein 1	55929	Q9NPF5	DMAP1_HUMAN	DMAP1 PF05499 243-407	Dmap1	1913483	Q9JI44	DMAP1_MOUSE	none	none	Chromatin remodeling	none	14966270	"NuA4, NuA4-related complex, SRCAP"	chromatin	none	none	none	14966270
163	DNAJC1	none	20090	"DnaJ (Hsp40) homolog, subfamily C, member 1"	64215	Q96KC8	DNJC1_HUMAN	"DnaJ PF00226 65-126, Myb_DNA-binding PF00249 494-543, Pfam-B_8255 PB008255 367-413"	Dnajc1	103268	Q61712	DNJC1_MOUSE	DNAJ	Heat shock proteins / DNAJ (HSP40)	"Histone modification write cofactor, Histone modification erase cofactor"	"Histone acetylation, Histone deacetylation"	16271702	none	histone	none	none	none	16271702
164	DNAJC2	none	13192	"DnaJ (Hsp40) homolog, subfamily C, member 2"	27000	Q99543	DNJC2_HUMAN	"DnaJ PF00226 88-158, Myb_DNA-binding PF00249 451-506 552-600, Pfam-B_24524 PB024524 28-59, Pfam-B_30652 PB030652 1-27"	Dnajc2	99470	P54103	DNJC2_MOUSE	DNAJ	Heat shock proteins / DNAJ (HSP40)	Histone modification read	none	21179169	none	histone	H2A	none	none	21179169
165	DND1	none	23799	DND microRNA-mediated repression inhibitor 1	373863	Q8IYX4	DND1_HUMAN	"DND1_DSRM PF14709 253-333, RRM_1 PF00076 60-126"	Dnd1	2447763	Q6VY05	DND1_MOUSE	RBM	RNA binding motif (RRM) containing	RNA modification	none	23890083	none	RNA	none	none	none	23890083
166	DNMT1	none	2976	DNA (cytosine-5-)-methyltransferase 1	1786	P26358	DNMT1_HUMAN	"BAH PF01426 755-880 931-1100, DMAP_binding PF06464 16-105, DNA_methylase PF00145 1139-1594, DNMT1-RFD PF12047 399-534, zf-CXXC PF02008 645-691"	Dnmt1	94912	P13864	DNMT1_MOUSE	none	none	DNA modification	DNA methylation	18754681	none	DNA	dhC	dhU	none	18754681
167	DNMT3A	none	2978	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	Q9Y6K1	DNM3A_HUMAN	"DNA_methylase PF00145 634-776, PWWP PF00855 290-375"	Dnmt3a	1261827	O88508	DNM3A_MOUSE	none	none	DNA modification	DNA methylation	12138111	none	DNA	dhC	dhU	none	12138111
168	DNMT3B	none	2979	DNA (cytosine-5-)-methyltransferase 3 beta	1789	Q9UBC3	DNM3B_HUMAN	"DNA_methylase PF00145 575-725, PWWP PF00855 223-308"	Dnmt3b	1261819	O88509	DNM3B_MOUSE	none	none	DNA modification	DNA methylation	10325416	none	DNA	dhC	dhU	none	10325416
169	DNMT3L	none	2980	DNA (cytosine-5-)-methyltransferase 3-like	29947	Q9UJW3	DNM3L_HUMAN	"Pfam-B_139748 PB139748 181-229, Pfam-B_41249 PB041249 91-179"	Dnmt3l	1859287	Q9CWR8	DNM3L_MOUSE	none	none	Histone modification read	none	17687327	none	histone	H3K4	none	none	17687327
170	DNTTIP2	none	24013	"deoxynucleotidyltransferase, terminal, interacting protein 2"	30836	Q5QJE6	TDIF2_HUMAN	Fcf2 PF08698 635-731	Dnttip2	1923173	Q8R2M2	TDIF2_MOUSE	none	none	Chromatin remodeling	none	12786946	none	histone	"H2A, H2B"	none	none	12786946
171	DOT1L	none	24948	DOT1-like histone H3K79 methyltransferase	84444	Q8TEK3	DOT1L_HUMAN	"DOT1 PF08123 115-317, Pfam-B_30738 PB030738 501-539"	Dot1l	2143886	-	-	KMT	Chromatin-modifying enzymes / K-methyltransferases	Histone modification write	Histone methylation	12123582	none	histone	H3K79	none	none	12123582
172	DPF1	none	20225	"D4, zinc and double PHD fingers family 1"	8193	Q92782	DPF1_HUMAN	"PHD PF00628 256-311 310-368, Pfam-B_77905 PB077905 1-37, Requiem_N PF14051 38-111"	Dpf1	1352748	Q9QX66	DPF1_MOUSE	PHF	"Zinc fingers, PHD-type"	Chromatin remodeling cofactor	none	21931736	"nBAF, SWI/SNF BRM-BRG1"	chromatin	none	none	none	21931736
173	DPF2	none	9964	"D4, zinc and double PHD fingers family 2"	5977	Q92785	REQU_HUMAN	"PHD PF00628 272-330 329-376, Requiem_N PF14051 12-85"	Dpf2	109529	Q61103	REQU_MOUSE	PHF	"Zinc fingers, PHD-type"	Chromatin remodeling	none	21888896	SWI/SNF BRM-BRG1	"histone, DNA"	none	none	none	21888896
174	DPF3	none	17427	"D4, zinc and double PHD fingers, family 3"	8110	Q92784	DPF3_HUMAN	"PHD PF00628 261-319 318-366, Requiem_N PF14051 12-85"	Dpf3	1917377	P58269	DPF3_MOUSE	PHF	"Zinc fingers, PHD-type"	Chromatin remodeling	none	21423274	"BAF, nBAF, SWI/SNF BRM-BRG1"	histone	"H3, H4"	none	none	21423274
175	DPPA3	none	19199	developmental pluripotency associated 3	359787	Q6W0C5	DPPA3_HUMAN	PGC7_Stella PF15549 1-155	Dppa3	1920958	Q8QZY3	DPPA3_MOUSE	none	none	Histone modification read	none	none	none	histone	H3K9me2	none	none	none
176	DPY30	none	24590	dpy-30 homolog (C. elegans)	84661	Q9C005	DPY30_HUMAN	"Dpy-30 PF05186 52-93, Pfam-B_28037 PB028037 1-51"	Dpy30	1913560	Q99LT0	DPY30_MOUSE	none	none	Histone modification write cofactor	Histone methylation	19556245	"COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4"	histone	none	none	none	19556245
177	DR1	none	3017	"down-regulator of transcription 1, TBP-binding (negative cofactor 2)"	1810	Q01658	NC2B_HUMAN	CBFD_NFYB_HMF PF00808 11-75	Dr1	1100515	Q91WV0	NC2B_MOUSE	none	none	Histone chaperone	none	18838386	ATAC	histone	none	none	none	18838386
178	DTX3L	none	30323	"deltex 3 like, E3 ubiquitin ligase"	151636	Q8TDB6	DTX3L_HUMAN	"Pfam-B_11420 PB011420 311-389 706-737, zf-RING_2 PF13639 559-600"	Dtx3l	2656973	Q3UIR3	DTX3L_MOUSE	RNF	RING-type (C3HC4) zinc fingers	Histone modification write	Histone ubiquitination	19818714	none	histone	H4K91	none	none	19818714
179	DZIP3	none	30938	DAZ interacting zinc finger protein 3	9666	Q86Y13	DZIP3_HUMAN	"Pfam-B_10362 PB010362 531-619, Pfam-B_5525 PB005525 201-419, Pfam-B_5636 PB005636 1-199, Pfam-B_8501 PB008501 621-773, Pfam-B_8729 PB008729 421-529, zf-RING_2 PF13639 1146-1188"	Dzip3	1917433	Q7TPV2	DZIP3_MOUSE	"RNF, PPP1R"	"RING-type (C3HC4) zinc fingers, Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"	Histone modification write	Histone ubiquitination	18206970	none	"histone, RNA"	H2AK119	H2AK119ub	none	18206970
180	E2F6	none	3120	E2F transcription factor 6	1876	O75461	E2F6_HUMAN	E2F_TDP PF02319 63-128	E2f6	1354159	O54917	E2F6_MOUSE	none	none	TF	TF repressor	none	"RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7"	DNA	DNA motif	none	none	none
181	EED	none	3188	embryonic ectoderm development	8726	O75530	EED_HUMAN	"Pfam-B_26038 PB026038 1-39, Pfam-B_6684 PB006684 265-359, WD40 PF00400 180-219 231-264"	Eed	95286	Q921E6	EED_MOUSE	WDR	WD repeat domain containing	Polycomb group (PcG) protein	none	9584199	PRC2	none	none	none	none	9584199
182	EHMT1	none	24650	euchromatic histone-lysine N-methyltransferase 1	79813	Q9H9B1	EHMT1_HUMAN	"Ank_2 PF12796 742-836 810-903 910-998, Ank_4 PF13637 773-826 839-893, Pfam-B_28560 PB028560 1-98, Pre-SET PF05033 1013-1118, SET PF00856 1137-1243"	Ehmt1	1924933	Q5DW34	EHMT1_MOUSE	"KMT, ANKRD"	"Chromatin-modifying enzymes / K-methyltransferases, Ankyrin repeat domain containing"	Histone modification write	Histone methylation	18264113	none	histone	H3K9	"H3K9me1, H3K9me2"	none	18264113
183	EHMT2	none	14129	euchromatic histone-lysine N-methyltransferase 2	10919	Q96KQ7	EHMT2_HUMAN	"Ank PF00023 684-716 717-748 750-783 784-816 818-849 850-882, Pfam-B_9355 PB009355 34-359, Pre-SET PF05033 925-1030, SET PF00856 1049-1155"	Ehmt2	2148922	Q9Z148	EHMT2_MOUSE	"KMT, ANKRD"	"Chromatin-modifying enzymes / K-methyltransferases, Ankyrin repeat domain containing"	Histone modification write	Histone methylation	18264113	none	histone	H3K9	"H3K9me1, H3K9me2"	none	18264113
184	EID1	none	1191	EP300 interacting inhibitor of differentiation 1	23741	Q9Y6B2	EID1_HUMAN	Pfam-B_5729 PB005729 1-159	Eid1	1889651	Q9DCR4	EID1_MOUSE	none	none	Histone modification write cofactor	Histone acetylation	11073990	none	histone	none	none	none	11073990
185	EID2	none	28292	EP300 interacting inhibitor of differentiation 2	163126	Q8N6I1	EID2_HUMAN	"Pfam-B_42536 PB042536 111-199, Pfam-B_7728 PB007728 1-109 201-234"	Eid2	2681174	Q6X7S9	EID2_MOUSE	none	none	Histone modification write cofactor	Histone acetylation	14585496	none	histone	none	none	none	14585496
186	EID2B	none	26796	EP300 interacting inhibitor of differentiation 2B	126272	Q96D98	EID2B_HUMAN	none	Eid2b	1924095	none	none	none	none	Histone modification erase cofactor	Histone acetylation	15970276	none	histone	none	none	none	15970276
187	ELP2	none	18248	elongator acetyltransferase complex subunit 2	55250	Q6IA86	ELP2_HUMAN	WD40 PF00400 48-91 99-143 197-237 274-320 378-416 557-587 604-642 662-697	Elp2	1889642	Q91WG4	ELP2_MOUSE	"ELP, WDR"	"Elongator acetyltransferase complex subunits, WD repeat domain containing"	Histone modification write cofactor	Histone acetylation	11818576	Pol2 elongator	histone	none	none	none	11818576
188	ELP3	none	20696	elongator acetyltransferase complex subunit 3	55140	Q9H9T3	ELP3_HUMAN	"Acetyltransf_1 PF00583 441-536, Pfam-B_13823 PB013823 1-49, Radical_SAM PF04055 96-305"	Elp3	1921445	Q9CZX0	ELP3_MOUSE	"KAT, ELP"	"Chromatin-modifying enzymes / K-acetyltransferases, Elongator acetyltransferase complex subunits"	Histone modification write	Histone acetylation	11818576	Pol2 elongator	histone	"H3, H4?"	none	none	11818576
189	ELP4	none	1171	elongator acetyltransferase complex subunit 4	26610	Q96EB1	ELP4_HUMAN	PAXNEB PF05625 27-424	Elp4	1925016	Q9ER73	ELP4_MOUSE	ELP	Elongator acetyltransferase complex subunits	Histone modification write cofactor	Histone acetylation	11714725	Pol2 elongator	histone	none	none	none	11714725
190	ELP5	none	30617	elongator acetyltransferase complex subunit 5	23587	Q8TE02	ELP5_HUMAN	Elong_Iki1 PF10483 17-298	Elp5	1859017	Q99L85	ELP5_MOUSE	ELP	Elongator acetyltransferase complex subunits	Histone modification write cofactor	Histone acetylation	11904415	Pol2 elongator	histone	"H3K14, H4K8"	none	none	11904415
191	ELP6	none	25976	elongator acetyltransferase complex subunit 6	54859	Q0PNE2	ELP6_HUMAN	DUF2348 PF09807 1-251	Elp6	1919349	Q8BK75	ELP6_MOUSE	ELP	Elongator acetyltransferase complex subunits	Histone modification write cofactor	Histone acetylation	22854966	Pol2 elongator	histone	none	none	none	22854966
192	ENY2	none	24449	enhancer of yellow 2 homolog (Drosophila)	56943	Q9NPA8	ENY2_HUMAN	EnY2 PF10163 11-96	Eny2	1919286	Q9JIX0	ENY2_MOUSE	none	none	Histone modification erase cofactor	Histone ubiquitination	18206972	SAGA	histone	none	none	none	18206972
193	EP300	none	3373	E1A binding protein p300	2033	Q09472	EP300_HUMAN	"Bromodomain PF00439 1058-1144, Creb_binding PF09030 1990-2099, DUF902 PF06001 1155-1196, KAT11 PF08214 1306-1612, KIX PF02172 566-646, Pfam-B_15526 PB015526 1-129, Pfam-B_817 PB000817 2317-2349, ZZ PF00569 1664-1705, zf-TAZ PF02135 336-416 1733-1806"	Ep300	1276116	B2RWS6	EP300_MOUSE	KAT	Chromatin-modifying enzymes / K-acetyltransferases	Histone modification write	Histone acetylation	17065153	none	histone	"H2A, H2B, H3, H4"	none	none	17065153
194	EP400	none	11958	E1A binding protein p400	57634	Q96L91	EP400_HUMAN	"HSA PF07529 800-871, Helicase_C PF00271 1932-2014, Pfam-B_18422 PB018422 1887-1923, SNF2_N PF00176 1094-1374"	Ep400	1276124	Q8CHI8	EP400_MOUSE	none	none	"Chromatin remodeling, Histone modification write"	Histone acetylation	20876283	"SWR, NuA4, NuA4-related complex"	histone	none	none	none	20876283
195	EPC1	none	19876	enhancer of polycomb homolog 1 (Drosophila)	80314	Q9H2F5	EPC1_HUMAN	"EPL1 PF10513 6-149, E_Pc_C PF06752 582-836"	Epc1	1278322	Q8C9X6	EPC1_MOUSE	none	none	Polycomb group (PcG) protein	none	14966270	"NuA4, Piccolo_NuA4, NuA4-related complex"	histone	none	none	none	14966270
196	EPC2	New	24543	enhancer of polycomb homolog 2 (Drosophila)	26122	Q52LR7	EPC2_HUMAN	"EPL1 PF10513 6-149, E_Pc_C PF06752 577-807, Pfam-B_18248 PB018248 432-544, Pfam-B_19406 PB019406 370-415"	Epc2	1278321	Q8C0I4	EPC2_MOUSE	none	none	Chromatin remodeling	none	19898529	none	chromatin	none	none	none	none
197	ERBB4	none	3432	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	2066	Q15303	ERBB4_HUMAN	"Furin-like PF00757 176-335, GF_recep_IV PF14843 502-634, Pfam-B_10445 PB010445 1236-1306, Pkinase_Tyr PF07714 718-974, Recep_L_domain PF01030 55-167 358-478"	Erbb4	104771	Q61527	ERBB4_MOUSE	none	none	Histone modification cofactor	none	23230144	none	histone	H3K9me3	none	none	23230144
198	ERCC6	none	3438	excision repair cross-complementation group 6	2074	Q03468	ERCC6_HUMAN	"Helicase_C PF00271 873-952, Pfam-B_58020 PB058020 1-49, SNF2_N PF00176 510-812"	Ercc6	1100494	none	none	none	none	Chromatin remodeling	none	15226310	B-WICH	chromatin	none	none	none	15226310
199	EXOSC1	none	17286	exosome component 1	51013	Q9Y3B2	EXOS1_HUMAN	"ECR1_N PF14382 7-41, EXOSC1 PF10447 64-135"	Exosc1	1913833	Q9DAA6	EXOS1_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
200	EXOSC2	none	17097	exosome component 2	23404	Q13868	EXOS2_HUMAN	ECR1_N PF14382 26-64	Exosc2	2385133	Q8VBV3	EXOS2_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
201	EXOSC3	none	17944	exosome component 3	51010	Q9NQT5	EXOS3_HUMAN	Pfam-B_7181 PB007181 221-267	Exosc3	1913612	Q7TQK4	EXOS3_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
202	EXOSC4	none	18189	exosome component 4	54512	Q9NPD3	EXOS4_HUMAN	"Pfam-B_25613 PB025613 221-243, RNase_PH PF01138 21-152, RNase_PH_C PF03725 155-220"	Exosc4	1923576	Q921I9	EXOS4_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
203	EXOSC5	none	24662	exosome component 5	56915	Q9NQT4	EXOS5_HUMAN	"RNase_PH PF01138 27-147, RNase_PH_C PF03725 150-216"	Exosc5	107889	Q9CRA8	EXOS5_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
204	EXOSC6	none	19055	exosome component 6	118460	Q5RKV6	EXOS6_HUMAN	RNase_PH PF01138 35-175	Exosc6	1919794	Q8BTW3	EXOS6_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
205	EXOSC7	none	28112	exosome component 7	23016	Q15024	EXOS7_HUMAN	"RNase_PH PF01138 31-166, RNase_PH_C PF03725 196-262"	Exosc7	1913696	Q9D0M0	EXOS7_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
206	EXOSC8	none	17035	exosome component 8	11340	Q96B26	EXOS8_HUMAN	"RNase_PH PF01138 31-166, RNase_PH_C PF03725 191-258"	Exosc8	1916889	Q9D753	EXOS8_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
207	EXOSC9	none	9137	exosome component 9	5393	Q06265	EXOS9_HUMAN	"RNase_PH PF01138 31-163, RNase_PH_C PF03725 189-256"	Exosc9	1355319	Q9JHI7	EXOS9_MOUSE	none	none	"Scaffold protein, RNA modification"	RNA degradation	17174896	RNA exosome	RNA	none	none	none	17174896
208	EYA1	none	3519	EYA transcriptional coactivator and phosphatase 1	2138	Q99502	EYA1_HUMAN	"Pfam-B_10178 PB010178 530-586, Pfam-B_3150 PB003150 209-513"	Eya1	109344	P97767	EYA1_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	19234442	none	histone	H2AXT142	none	none	19234442
209	EYA2	none	3520	EYA transcriptional coactivator and phosphatase 2	2139	O00167	EYA2_HUMAN	none	Eya2	109341	O08575	EYA2_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	19351884	none	histone	H2AXT142	none	none	19351884
210	EYA3	none	3521	EYA transcriptional coactivator and phosphatase 3	2140	Q99504	EYA3_HUMAN	none	Eya3	109339	P97480	EYA3_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	19351884	none	histone	H2AXT142	none	none	19351884
211	EYA4	none	3522	EYA transcriptional coactivator and phosphatase 4	2070	O95677	EYA4_HUMAN	Pfam-B_6035 PB006035 96-142	Eya4	1337104	Q9Z191	EYA4_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	none	none	histone	H2AXY142ph	H2AXY142	none	24096489
212	EZH1	none	3526	enhancer of zeste 1 polycomb repressive complex 2 subunit	2145	Q92800	EZH1_HUMAN	"EZH2_WD-Binding PF11616 39-68, SET PF00856 624-728"	Ezh1	1097695	P70351	EZH1_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	"Histone modification write, Polycomb group (PcG) protein"	Histone methylation	19026781	PRC2	histone	H3K27	"H3K27me1, H3K27me2, H3K27me3"	none	19026781
213	EZH2	none	3527	enhancer of zeste 2 polycomb repressive complex 2 subunit	2146	Q15910	EZH2_HUMAN	"EZH2_WD-Binding PF11616 39-68, SET PF00856 623-727"	Ezh2	107940	Q61188	EZH2_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	"Histone modification write, Polycomb group (PcG) protein"	Histone methylation	19026781	PRC2	histone	H3K27	"H3K27me1, H3K27me2, H3K27me3"	none	19026781
214	FAM175A	none	25829	"family with sequence similarity 175, member A"	84142	Q6UWZ7	F175A_HUMAN	Pfam-B_8506 PB008506 1-175	Fam175a	1917931	Q8BPZ8	F175A_MOUSE	none	none	Scaffold protein	none	19261749	BRCA1-A	TF	none	none	none	19261749
215	FAM175B	none	28975	"family with sequence similarity 175, member B"	23172	Q15018	F175B_HUMAN	Pfam-B_24421 PB024421 331-390	Fam175b	1926116	Q3TCJ1	F175B_MOUSE	none	none	Histone modification erase cofactor	Histone ubiquitination	20656690	BRISC	histone	H2AK63	H2AK63ub	none	20656690
216	FBL	none	3599	fibrillarin	2091	P22087	FBRL_HUMAN	Fibrillarin PF01269 88-315	Fbl	95486	P35550	FBRL_MOUSE	none	none	Histone modification write	Histone methylation	24352239	none	histone	H2AQ104	H2AQ104me	none	24352239
217	FBRS	New	20442	fibrosin	64319	Q9HAH7	FBRS_HUMAN	"Auts2 PF15336 82-282, Pfam-B_58582 PB058582 283-359"	Fbrs	104648	Q8R089	FBRS_MOUSE	none	none	Histone modification	none	"24217316, 22325352"	RING2-FBRS	histone	none	none	none	"24217316, 22325352"
218	FBRSL1	New	29308	fibrosin-like 1	57666	Q9HCM7	FBSL_HUMAN	"Auts2 PF15336 587-791, Pfam-B_17807 PB017807 439-487, Pfam-B_187339 PB187339 41-131, Pfam-B_52362 PB052362 164-412"	Fbrsl1	1920907	none	none	none	none	Histone modification	none	"24217316, 22325352"	RING2-FBRS	histone	none	none	none	"24217316, 22325352"
219	FOXA1	New	5021	forkhead box A1	3169	P55317	FOXA1_HUMAN	"Fork_head PF00250 170-265, Fork_head_N PF08430 17-169, HNF_C PF09354 397-461"	Foxa1	1347472	P35582	FOXA1_MOUSE	FOX	Forkhead boxes	"Chromatin remodeling, TF"	none	22406422	none	"chromatin, DNA"	DNA motif	none	none	none
220	FOXO1	New	3819	forkhead box O1	2308	Q12778	FOXO1_HUMAN	"Fork_head PF00250 127-268, Pfam-B_12765 PB012765 601-653, Pfam-B_39024 PB039024 1-49"	Foxo1	1890077	Q9R1E0	FOXO1_MOUSE	FOX	Forkhead boxes	TF	none	22406422	none	"histone, DNA"	"DNA motif, H3, H4"	none	none	none
221	FOXP1	New	3823	forkhead box P1	27086	Q9H334	FOXP1_HUMAN	"Fork_head PF00250 465-555, Pfam-B_24123 PB024123 1-79"	Foxp1	1914004	P58462	FOXP1_MOUSE	FOX	Forkhead boxes	TF	none	22406422	none	"histone, DNA"	DNA motif	none	none	none
222	FOXP2	New	13875	forkhead box P2	93986	O15409	FOXP2_HUMAN	"Fork_head PF00250 504-593, Pfam-B_4008 PB004008 240-308"	Foxp2	2148705	P58463	FOXP2_MOUSE	FOX	Forkhead boxes	TF	none	22406422	none	"histone, DNA"	DNA motif	none	none	none
223	FOXP3	New	6106	forkhead box P3	50943	Q9BZS1	FOXP3_HUMAN	Fork_head PF00250 337-426	Foxp3	1891436	Q99JB6	FOXP3_MOUSE	FOX	Forkhead boxes	TF	none	22406422	none	"histone, DNA"	DNA motif	none	none	none
224	FOXP4	New	20842	forkhead box P4	116113	Q8IVH2	FOXP4_HUMAN	"Fork_head PF00250 467-555, Pfam-B_22084 PB022084 1-155, Pfam-B_23482 PB023482 569-647, Pfam-B_4008 PB004008 201-230"	Foxp4	1921373	Q9DBY0	FOXP4_MOUSE	FOX	Forkhead boxes	TF	none	22406422	none	"histone, DNA"	DNA motif	none	none	none
225	GADD45A	none	4095	"growth arrest and DNA-damage-inducible, alpha"	1647	P24522	GA45A_HUMAN	Ribosomal_L7Ae PF01248 21-123	Gadd45a	107799	P48316	GA45A_MOUSE	none	none	Chromatin remodeling	none	21986581	none	histone	"H2A, H2B, H3, H4"	none	none	21986581
226	GADD45B	none	4096	"growth arrest and DNA-damage-inducible, beta"	4616	O75293	GA45B_HUMAN	Ribosomal_L7Ae PF01248 21-121	Gadd45b	107776	P22339	GA45B_MOUSE	none	none	Chromatin remodeling	none	21986581	none	histone	"H2A, H2B, H3, H4"	none	none	21986581
227	GADD45G	none	4097	"growth arrest and DNA-damage-inducible, gamma"	10912	O95257	GA45G_HUMAN	Ribosomal_L7Ae PF01248 24-113	Gadd45g	1346325	Q9Z111	GA45G_MOUSE	none	none	Chromatin remodeling	none	21986581	none	histone	"H2A, H2B, H3, H4"	none	none	21986581
228	GATAD1	New	29941	GATA zinc finger domain containing 1	57798	Q8WUU5	GATD1_HUMAN	"GATA PF00320 9-36, Pfam-B_13145 PB013145 175-216, Pfam-B_17231 PB017231 235-263"	Gatad1	1914460	Q920S3	GATD1_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification read	none	20850016	none	histone	H3K4me3	none	none	none
229	GATAD2A	none	29989	GATA zinc finger domain containing 2A	54815	Q86YP4	P66A_HUMAN	Pfam-B_2058 PB002058 1-79	Gatad2a	2384585	Q8CHY6	P66A_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification read	none	16415179	NuRD	histone	"H2A, H2B, H3, H4"	none	none	16415179
230	GATAD2B	none	30778	GATA zinc finger domain containing 2B	57459	Q8WXI9	P66B_HUMAN	GATA PF00320 420-454	Gatad2b	2443225	Q8VHR5	P66B_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification read	none	16415179	NuRD	histone	"H2A, H2B, H3, H4"	none	none	16415179
231	GFI1	New	4237	growth factor independent 1 transcription repressor	2672	Q99684	GFI1_HUMAN	"LIM PF00412 228-283 287-342 346-401 405-460, Paxillin PF03535 6-135"	Gfi1	103170	P70338	GFI1_MOUSE	ZNF	"Zinc fingers, C2H2-type"	Chromatin remodeling	none	16287849	none	none	none	none	none	none
232	GFI1B	New	4238	growth factor independent 1B transcription repressor	8328	Q5VTD9	GFI1B_HUMAN	"zf-C2H2 PF00096 220-242, zf-H2C2_2 PF13465 177-203 262-287 290-314"	Gfi1b	1276578	O70237	GFI1B_MOUSE	ZNF	"Zinc fingers, C2H2-type"	Histone modification cofactor	none	24395799	none	none	none	none	none	none
233	GLYR1	none	24434	glyoxylate reductase 1 homolog (Arabidopsis)	84656	Q49A26	GLYR1_HUMAN	"NAD_binding_11 PF14833 430-551, NAD_binding_2 PF03446 267-429, PWWP PF00855 6-89"	Glyr1	1921272	Q922P9	GLYR1_MOUSE	none	none	Histone modification read	none	20850016	none	histone	H3K4me3	none	none	20850016
234	GSE1	none	28979	Gse1 coiled-coil protein	23199	Q14687	GSE1_HUMAN	DUF3736 PF12540 70-203 731-874	Gse1	1098275	Q3U3C9	GSE1_MOUSE	none	none	Histone modification erase	Histone acetylation	8724849	"BHC, LSD-CoREST"	RNA	none	none	none	8724849
235	GSG2	none	19682	germ cell associated 2 (haspin)	83903	Q8TF76	HASP_HUMAN	"DUF3635 PF12330 708-797, Pfam-B_41097 PB041097 111-310, Pfam-B_49843 PB049843 1-109, Pkinase PF00069 484-699"	Gsg2	1194498	Q9Z0R0	HASP_MOUSE	none	none	Histone modification write	Histone phosphorylation	20705812	none	histone	H3T3	H3T3ph	none	20705812
236	GTF2I	none	4659	general transcription factor IIi	2969	P78347	GTF2I_HUMAN	GTF2I PF02946 112-187 361-436 466-541 571-646 733-808 868-943	Gtf2i	1202722	Q9ESZ8	GTF2I_MOUSE	none	none	TF	none	9334314	BHC	DNA	DNA motif	none	none	none
237	GTF3C4	none	4667	"general transcription factor IIIC, polypeptide 4, 90kDa"	9329	Q9UKN8	TF3C4_HUMAN	"TFIIIC_delta PF12657 61-254, zf-TFIIIC PF12660 733-822"	Gtf3c4	2138937	Q8BMQ2	TF3C4_MOUSE	"KAT, GTF"	"Chromatin-modifying enzymes / K-acetyltransferases, General transcription factors"	Histone modification write	Histone acetylation	10523658	none	histone	H3	none	none	10523658
238	HAT1	none	4821	histone acetyltransferase 1	8520	O14929	HAT1_HUMAN	Hat1_N PF10394 26-187	Hat1	96013	Q8BY71	HAT1_MOUSE	KAT	Chromatin-modifying enzymes / K-acetyltransferases	Histone modification write	Histone acetylation	9427644	none	histone	"H4, H2A"	none	none	9427644
